id,order_date,supplier_code,supplier_name,item_category_code,item_category_name,item_code,item_name,um,order_number,entered_by_name,indent_number,department,department_name,cost_project,cost_project_name,currency_code,currency_name,exchange_rate,stock_type_name,order_value,order_quantity,bal_qty,rate
14077,2025-07-30 00:00:00,CTH06,"Gilbert, Taylor and Martinez",C0027,General,S0M090696,Water Tan,NOS,PR25Y-00853,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Capital,4100,1,0,4100
14078,2025-07-30 00:00:00,CTH06,"Gilbert, Taylor and Martinez",SS04,Plastic Pipe & fitting,S0M161059,Water Tan,NOS,PR25Y-00853,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Capital,2100,1,0,2100
14033,2025-07-29 00:00:00,CMU02,Davis-Jenkins,C0034,Pipe Line Fitting,S0M161726,Bib Cock,NOS,PR25Y-00842,YUVRAJ,IR25Y-00744,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,428,1,0,535
14071,2025-07-30 00:00:00,CDI02,Lucas Ltd,C0034,Pipe Line Fitting,S0M162484,Hex Nippl,NOS,PR25Y-00855,YUVRAJ,IR25Y-00768,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1100.03,10,10,110
14236,2025-04-08 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0032,Chain & Sprocket,S0M140033,Chain 3mm,NOS,PR25Y-00880,PARMESHWAR TIDK,IR25Y-00798,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,160,2,0,80
14277,2025-05-08 00:00:00,CMA02,Tate and Sons,C0015,Daily Electricals,S0E140325,Ceiling F,NOS,PR25Y-00884,YUVRAJ,IR25Y-00802,DEP01,132kv Powe,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3044,2,0,1290
14267,2025-05-08 00:00:00,CHI01,Young-Jackson,C0021,Compressor,S0M030238,Oil Filte,NOS,PR25Y-00882,KRUSHNA,IR25Y-00794,DEP31,Prison officer,COM02,Project Advanced next generation instruction set,INR,INDIAN RUPEE,      1.00000,Revenue,9873.76,4,0,2202
14622,2025-07-15 00:00:00,CAX01,"Kidd, Henderson and Krause",C0024,General Tool,S0M061233,Cordless,NOS,PR25Y-00750,YUVRAJ,IR25Y-00681,MARKE,Technical author,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Capital,10550,1,0,10550
24592,2025-10-20 00:00:00,CEN01,"Ellis, King and Robinson",C0071,Hex Nut Bolt W,S0M171160,HT Bolt 1,NOS,PR25Y-01478,YUVRAJ,IR25Y-01332,DEP34,Chartered loss adjuster,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1021.63,50,50,46.8
24591,2025-10-20 00:00:00,CEN01,"Ellis, King and Robinson",C0071,Hex Nut Bolt W,S0M170367,HT Bolt 1,NOS,PR25Y-01478,YUVRAJ,IR25Y-01332,DEP34,Chartered loss adjuster,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,467.38,50,50,21.41
24589,2025-10-20 00:00:00,CEN01,"Ellis, King and Robinson",C0071,Hex Nut Bolt W,S0M170318,Spring Wa,NOS,PR25Y-01478,YUVRAJ,IR25Y-01332,DEP34,Chartered loss adjuster,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,94.4,100,100,.8
14334,2025-01-07 00:00:00,CDI02,Lucas Ltd,C0024,General Tool,S0M060001,Adjustabl,NOS,PR25Y-00657,PARMESHWAR TIDK,IR25Y-00596,DEP20,KALIKA ROL,CANTE,Project Realigned clear-thinking help-desk,INR,INDIAN RUPEE,      1.00000,Revenue,420,1,0,356
24594,2025-10-20 00:00:00,CEN01,"Ellis, King and Robinson",C0069,Allen Bolt,S0M170011,Allen Bol,NOS,PR25Y-01478,YUVRAJ,IR25Y-01332,DEP34,Chartered loss adjuster,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1356.99,50,50,23
14359,2025-03-07 00:00:00,CKE04,Gibbs-Jackson,C0054,Oil & Grease,S0O020103,Grease La,KGS,PR25Y-00667,PARMESHWAR TIDK,IR25Y-00607,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,78588,360,0,185
14363,2025-03-07 00:00:00,CMA02,Tate and Sons,C0015,Daily Electricals,S0E140911,Condenser,NOS,PR25Y-00670,YUVRAJ,IR25Y-00608,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,240.03,2,2,120
13991,2025-07-29 00:00:00,CPO05,Johnson Inc,C0003,Automation,S0E020596,R C NETWO,NOS,PR25Y-00841,KRUSHNA,IR25Y-00758,DEP28,Press photographer,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,712.52,1,0,750
18406,2025-02-09 00:00:00,CGA25,Mendoza-Mata,C0015,Daily Electricals,S0E140652,Capacitor,NOS,PR25Y-01085,KRUSHNA,IR25Y-00986,DEP13,Private music teacher,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,755,4,0,160
19616,2025-08-04 00:00:00,CBI02,Jones Group,SS04,Plastic Pipe & fitting,S0M161256,Pvc Elbow,NOS,PR25Y-00070,YUVRAJ,IR25Y-00065,DEP13,Private music teacher,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,749.95,15,0,42.37
14499,2025-06-07 00:00:00,CSHB4,Harris-Powell,C0019,Daily Consumable,S0M010069,Wheel - G,NOS,PR25Y-00691,YUVRAJ,IR25Y-00615,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3894.04,100,0,33
14513,2025-07-07 00:00:00,CEN01,"Ellis, King and Robinson",C0032,Chain & Sprocket,S0M140004,Chain Loc,NOS,PR25Y-00695,YUVRAJ,IR25Y-00629,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3115.27,100,0,55
14515,2025-07-07 00:00:00,CJY02,"Carlson, Lee and Jordan",C0007,Motor,S0E060570,Impeller,NOS,PR25Y-00701,KRUSHNA,IR25Y-00628,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1735,2,0,735
14550,2025-10-07 00:00:00,CDI02,Lucas Ltd,C0050,Lab Chemical,S0L010058,Water Tes,PKT,PR25Y-00720,PARMESHWAR TIDK,IR25Y-00651,DEP31,Prison officer,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1003,1,0,850
14519,2025-07-07 00:00:00,CSS02,Clark Group,C0041,Hyd Valve Spare,S0M230563,FRL Unit,NOS,PR25Y-00702,KRUSHNA,IR25Y-00630,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,6642,2,0,4330
14561,2025-10-07 00:00:00,CSC02,Carroll Group,C0007,Motor,S0E060782,PIVOT DN1,NOS,PR25Y-00715,PARMESHWAR TIDK,IR25Y-00645,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,4490.99,2,0,1941.68
14562,2025-10-07 00:00:00,CSC02,Carroll Group,C0007,Motor,S0E060781,Hex.Head,NOS,PR25Y-00715,PARMESHWAR TIDK,IR25Y-00645,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,518.03,8,0,56
14563,2025-10-07 00:00:00,CSC02,Carroll Group,C0007,Motor,S0E060777,Fixing Fl,NOS,PR25Y-00715,PARMESHWAR TIDK,IR25Y-00645,DEP10,Media buyer,RMCPU,Project Upgradable tangible access,INR,INDIAN RUPEE,      1.00000,Revenue,2807.98,2,0,1214
14547,2025-10-07 00:00:00,CDI02,Lucas Ltd,C0024,General Tool,S0M060025,Drill Bea,NOS,PR25Y-00721,YUVRAJ,IR25Y-00642,DEP16,"Pharmacist, community",MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,120.36,3,0,34
14541,2025-10-07 00:00:00,CDI02,Lucas Ltd,C0026,Guide Shop,S0M080641,Copper Wa,NOS,PR25Y-00721,YUVRAJ,IR25Y-00642,DEP16,"Pharmacist, community",MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,11799.84,500,0,20
14551,2025-10-07 00:00:00,CGA07,Howard-Nelson,C0024,General Tool,S0M060082,Ring Span,NOS,PR25Y-00718,YUVRAJ,IR25Y-00642,DEP16,"Pharmacist, community",MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,126.26,2,0,53.5
14552,2025-10-07 00:00:00,CGA07,Howard-Nelson,C0027,General,S0M091668,Nylon Rod,NOS,PR25Y-00718,YUVRAJ,IR25Y-00642,DEP16,"Pharmacist, community",MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,310,1,0,310
14620,2025-07-14 00:00:00,CVE06,"Keller, Mcclain and Neal",C0070,Ms Nut Bolt W,S0M170301,MS Washer,KGS,PR25Y-00735,YUVRAJ,IR25Y-00665,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1976.66,25,0,67
14629,2025-07-15 00:00:00,CMA23,Lozano PLC,C0027,General,S0M091056,Dust Bin,NOS,PR25Y-00747,YUVRAJ,IR25Y-00676,DEP39,Estate manager/land agent,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,2185,2,0,1092.5
14680,2025-07-18 00:00:00,CLA06,"Hartman, Tran and Mcdonald",C0027,General,S0M092576,Roff (T02,NOS,PR25Y-00768,PARMESHWAR TIDK,IR25Y-00692,DEP10,Media buyer,CANTE,Project Realigned clear-thinking help-desk,INR,INDIAN RUPEE,      1.00000,Revenue,2750,5,0,550
14678,2025-07-18 00:00:00,CBA19,"Cruz, Richards and Martin",STM01,Stationary,S0A030020,Thermal P,NOS,PR25Y-00765,PARMESHWAR TIDK,IR25Y-00691,DEP20,KALIKA ROL,CANTE,Project Realigned clear-thinking help-desk,INR,INDIAN RUPEE,      1.00000,Revenue,1470,70,0,21
14658,2025-07-17 00:00:00,CEN01,"Ellis, King and Robinson",C0071,Hex Nut Bolt W,S0M170612,HT Bolt 1,NOS,PR25Y-00764,KRUSHNA,IR25Y-00674,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1551.26,50,0,69.19
14717,2025-07-21 00:00:00,CVA19,Holmes LLC,C0027,General,S0M091328,Dezert Co,NOS,PR25Y-00792,YUVRAJ,IR25Y-00714,DEP18,Call centre manager,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,17000,1,0,17000
14708,2025-07-21 00:00:00,CDE03,Cline Group,C0054,Oil & Grease,S0O020055,Grease Se,KGS,PR25Y-00784,PARMESHWAR TIDK,IR25Y-00706,DEP31,Prison officer,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,8260,20,0,350
14707,2025-07-21 00:00:00,CDA05,"Anderson, Johnson and Williams",C0041,Hyd Valve Spare,S0M230139,"QRC 1/2""",NOS,PR25Y-00790,YUVRAJ,IR25Y-00712,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,9328,15,0,620
14721,2025-07-22 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0015,Daily Electricals,S0E060171,Water Pum,NOS,PR25Y-00794,YUVRAJ,IR25Y-00715,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,500,5,0,100
14753,2025-07-25 00:00:00,CKE04,Gibbs-Jackson,C0054,Oil & Grease,S0O020103,Grease La,KGS,PR25Y-00814,PARMESHWAR TIDK,IR25Y-00734,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,78588,360,0,185
14738,2025-07-23 00:00:00,CSE03,"Torres, Scott and Rodriguez",C0007,Motor,S0E060354,Mechanica,NOS,PR25Y-00802,KRUSHNA,IR25Y-00724,DEP31,Prison officer,SCA04,Project Triple-buffered cohesive software,INR,INDIAN RUPEE,      1.00000,Revenue,8153.09,1,0,7677
14755,2025-07-25 00:00:00,CLU01,Gutierrez LLC,HEX,Hex Nipple,S0M162162,Hex Nippl,NOS,PR25Y-00815,KRUSHNA,IR25Y-00731,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3717,50,0,70
14758,2025-07-25 00:00:00,CLU01,Gutierrez LLC,HYDFI,HYD FITTING,S0M162606,MS Socket,NOS,PR25Y-00815,KRUSHNA,IR25Y-00731,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,2851.2,6,0,528
14912,2025-01-06 00:00:00,CSA37,"Chan, Hunter and Bowers",C0015,Daily Electricals,S0E140340,PVC Pipe,NOS,PR25Y-00454,YUVRAJ,IR25Y-00416,DEP13,Private music teacher,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1740,30,0,58
14778,2025-07-26 00:00:00,CVA19,Holmes LLC,PM,Plant & Machinery,S0A010399,Air Condi,NOS,PR25Y-00827,YUVRAJ,IR25Y-00748,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Capital,51000,1,0,51000
14764,2025-07-25 00:00:00,CVE06,"Keller, Mcclain and Neal",C0029,Pully,S0M110001,Straight,NOS,PR25Y-00816,KRUSHNA,IR25Y-00731,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,2540,20,0,127
14763,2025-07-25 00:00:00,CVE06,"Keller, Mcclain and Neal",HYDFI,HYD FITTING,S0M162607,Hyd Hex N,NOS,PR25Y-00816,KRUSHNA,IR25Y-00731,DEP26,MAINTENANC,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1750,50,0,35
14913,2025-01-06 00:00:00,CSK06,Maldonado-Miller,C0038,Oil Seal & seal kit & o ring,S0M200064,Oil Seal,NOS,PR25Y-00457,KRUSHNA,IR25Y-00420,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,779,10,0,66
14954,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0033,Welding Material,S0M010017,Gas Cutte,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,CCM22,Project Visionary 3rdgeneration website,INR,INDIAN RUPEE,      1.00000,Revenue,3228.43,24,0,114
14944,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0033,Welding Material,S0M010018,Gas Cutte,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,CCM22,Project Visionary 3rdgeneration website,INR,INDIAN RUPEE,      1.00000,Revenue,3228.43,24,0,114
14955,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0033,Welding Material,S0M010019,Gas Cutte,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,CCM22,Project Visionary 3rdgeneration website,INR,INDIAN RUPEE,      1.00000,Revenue,1614.21,12,0,114
14921,2025-02-06 00:00:00,CRA08,Walters-Brooks,C0027,General,S0M090321,Binding W,KGS,PR25Y-00464,ABHIJEET,IR25Y-00426,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1833720,30000,-110,51.8
14951,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0047,Clamp,S0M091479,SS Clamp,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,2100.37,100,0,17.8
14952,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0047,Clamp,S0M290029,Hose Clam,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,353.99,100,0,3
14949,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0047,Clamp,S0M290031,SS Clamp,NOS,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,1246.06,50,0,21.12
14953,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0019,Daily Consumable,S0M090537,Gas Cutte,MTR,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,CCM22,Project Visionary 3rdgeneration website,INR,INDIAN RUPEE,      1.00000,Revenue,6725.89,100,2,57
14946,2025-02-06 00:00:00,CSH25,"Ross, Merritt and Rodriguez",C0019,Daily Consumable,S0M090536,Gas Cutte,MTR,PR25Y-00462,YUVRAJ,IR25Y-00406,DEP20,KALIKA ROL,CCM22,Project Visionary 3rdgeneration website,INR,INDIAN RUPEE,      1.00000,Revenue,6725.89,100,3,57
14961,2025-03-06 00:00:00,CKE04,Gibbs-Jackson,C0054,Oil & Grease,S0O020103,Grease La,KGS,PR25Y-00470,PARMESHWAR TIDK,IR25Y-00431,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,78588,360,0,185
14733,2025-07-23 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0019,Daily Consumable,S0M010048,Multimete,NOS,PR25Y-00805,PARMESHWAR TIDK,IR25Y-00726,CUTBE,Garment/textile technologist,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,1100,4,0,275
14732,2025-07-23 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0027,General,S0M091349,Cell 1.5V,NOS,PR25Y-00805,PARMESHWAR TIDK,IR25Y-00726,CUTBE,Garment/textile technologist,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,200,4,0,50
17065,2025-08-08 00:00:00,CSH16,"Wood, Walker and Ross",C0037,Filtter Element,S0M190054,Membrane,NOS,PR25Y-00903,KRUSHNA,IR25Y-00823,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,484980,12,0,34250
18032,2025-08-26 00:00:00,CMU02,Davis-Jenkins,SS04,Plastic Pipe & fitting,S0M160506,UPVC Elbo,NOS,PR25Y-01039,YUVRAJ,IR25Y-00942,DEP31,Prison officer,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,108.66,2,0,54.346
15057,2025-08-06 00:00:00,CPL01,Meza Ltd,C0019,Daily Consumable,S0M090176,Plastic T,KGS,PR25Y-00504,ABHIJEET,IR25Y-00465,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,15458,100,-48.8,131
15071,2025-10-06 00:00:00,CDS01,Roberts-Cabrera,C0003,Automation,S0E020480,Sensor PN,NOS,PR25Y-00515,KRUSHNA,IR25Y-00476,DEP20,KALIKA ROL,CUTBE,Project Multi-layered actuating ability,INR,INDIAN RUPEE,      1.00000,Revenue,7382.88,2,0,3293
15124,2025-12-06 00:00:00,CDI02,Lucas Ltd,C0050,Lab Chemical,S0M010140,Castic So,KGS,PR25Y-00531,KRUSHNA,IR25Y-00491,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,4130,50,0,70
15126,2025-12-06 00:00:00,CDI02,Lucas Ltd,C0050,Lab Chemical,S0L010326,SMBS Chem,KGS,PR25Y-00531,KRUSHNA,IR25Y-00491,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,4130,50,0,70
15155,2025-06-13 00:00:00,CNI02,Kirby-Bradley,C0034,Pipe Line Fitting,S0M161448,Health Fa,NOS,PR25Y-00542,YUVRAJ,IR25Y-00499,DEP20,KALIKA ROL,OFF02,Project Robust value-added hub,INR,INDIAN RUPEE,      1.00000,Revenue,1333,1,0,1332.5
15132,2025-12-06 00:00:00,CSH16,"Wood, Walker and Ross",C0050,Lab Chemical,S0L010325,Antiscala,LTR,PR25Y-00532,KRUSHNA,IR25Y-00491,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,43896,120,0,310
15133,2025-12-06 00:00:00,CSH16,"Wood, Walker and Ross",C0001,Refractory,S0M190053,EDTA Powd,KGS,PR25Y-00532,KRUSHNA,IR25Y-00491,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,4425,25,0,150
15173,2025-06-16 00:00:00,CSH16,"Wood, Walker and Ross",C0037,Filtter Element,S0M190025,Jumbo Fil,NOS,PR25Y-00551,KRUSHNA,IR25Y-00508,DEP31,Prison officer,RO005,Project Seamless bandwidth-monitored projection,INR,INDIAN RUPEE,      1.00000,Revenue,5310,25,0,180
15169,2025-06-15 00:00:00,CVE06,"Keller, Mcclain and Neal",C0034,Pipe Line Fitting,S0M160116,Ms Tee 1/,NOS,PR25Y-00547,KRUSHNA,IR25Y-00503,DEP24,MACHINE SH,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,2036,25,0,69
15163,2025-06-15 00:00:00,CMA13,"Yoder, Johnson and Melendez",SQP,HARDWARE,S0H100373,Ms Round,KGS,PR25Y-00549,ABHIJEET,IR25Y-00504,DEP21,Microbiologist,LAB04,Project Networked bifurcated info-mediaries,INR,INDIAN RUPEE,      1.00000,Revenue,179.99,3,0,60
15171,2025-06-16 00:00:00,CMU02,Davis-Jenkins,C0034,Pipe Line Fitting,S0M161726,Bib Cock,NOS,PR25Y-00553,YUVRAJ,IR25Y-00509,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3847.63,6,0,641.2
15172,2025-06-16 00:00:00,CMU02,Davis-Jenkins,C0034,Pipe Line Fitting,S0M160453,Push Cock,NOS,PR25Y-00553,YUVRAJ,IR25Y-00509,DEP20,KALIKA ROL,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,3360.37,6,0,560
15193,2025-06-18 00:00:00,CDI02,Lucas Ltd,C0024,General Tool,S0M060083,Ring Span,NOS,PR25Y-00564,YUVRAJ,IR25Y-00515,DEP24,MACHINE SH,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,214.76,2,0,91
15196,2025-06-18 00:00:00,CDI02,Lucas Ltd,C0027,General,S0M090789,Steel Sca,NOS,PR25Y-00564,YUVRAJ,IR25Y-00515,DEP24,MACHINE SH,MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,354.02,2,-2,150
14555,2025-10-07 00:00:00,CGA07,Howard-Nelson,C0026,Guide Shop,S0M080407,Copper Wa,NOS,PR25Y-00718,YUVRAJ,IR25Y-00642,DEP16,"Pharmacist, community",MAN20,Project Down-sized asymmetric frame,INR,INDIAN RUPEE,      1.00000,Revenue,5015.03,500,0,8.5
