id,grn_date,supplier_code,supplier_name,item_ctag_code,item_ctag_name,item_code,item_name,um,stock_type_name,grn_number,purchase_order_number,department,department_name,indent_number,currency_code,exchange_rate,cost_project,cost_project_name,currency_name,challan_qty,rate,net_amount
8214,2025-10-08 00:00:00,CKG01,Bailey-Cook,C0028,Hyd Hose Pipe,S0M100370,Hyd Hose,NOS,Revenue,GR25Y-01042,PR25Y-00907,DEP20,KALIKA ROLLING,IR25Y-00782,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,540,5400
7674,2025-02-05 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060098,Allen Key,NOS,Revenue,GR25Y-00283,PR25Y-00223,DEP12,"Accountant, chartered certified",IR25Y-00165,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,6,17.6,105.6
8217,2025-10-08 00:00:00,CKG01,Bailey-Cook,C0028,Hyd Hose Pipe,S0M100452,Hyd Hose,NOS,Revenue,GR25Y-01042,PR25Y-00907,DEP20,KALIKA ROLLING,IR25Y-00782,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,870,8700
7677,2025-02-05 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060138,Ring Span,SET,Revenue,GR25Y-00283,PR25Y-00223,DEP12,"Accountant, chartered certified",IR25Y-00165,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,1267,1267
7669,2025-02-05 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060137,Flat Span,SET,Revenue,GR25Y-00283,PR25Y-00223,DEP12,"Accountant, chartered certified",IR25Y-00165,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,598,598
6571,2025-04-07 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0027,General,S0M090722,SS Table,NOS,Revenue,GR25Y-00767,PR25Y-00681,DEP20,KALIKA ROLLING,IR25Y-00616,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,38.3,400,15320
6553,2025-02-07 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060001,Adjustabl,NOS,Revenue,GR25Y-00753,PR25Y-00657,DEP20,KALIKA ROLLING,IR25Y-00596,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,1,356,356
18669,2025-10-25 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170060,Allen Bol,NOS,Revenue,GR25Y-01713,PR25Y-01478,DEP34,Chartered loss adjuster,IR25Y-01332,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,8.98,166.13
18670,2025-10-25 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170011,Allen Bol,NOS,Revenue,GR25Y-01713,PR25Y-01478,DEP34,Chartered loss adjuster,IR25Y-01332,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,23,1150
18673,2025-10-25 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170029,Allen Bol,NOS,Revenue,GR25Y-01713,PR25Y-01478,DEP34,Chartered loss adjuster,IR25Y-01332,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,65.41,1210.08
18676,2025-10-25 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170142,HT Bolt 1,NOS,Revenue,GR25Y-01713,PR25Y-01478,DEP34,Chartered loss adjuster,IR25Y-01332,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,20.29,750.73
18677,2025-10-25 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170950,HT Bolt 1,NOS,Revenue,GR25Y-01713,PR25Y-01478,DEP34,Chartered loss adjuster,IR25Y-01332,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,46.66,863.21
6371,2025-07-31 00:00:00,CAG02,Diaz-Keller,C0027,General,S0M092495,AAC Block,BAG,Revenue,GR25Y-00984,PR25Y-00840,DEP28,Press photographer,IR25Y-00759,INR,      1.00000,OFF02,Project Robust value-added hub,INDIAN RUP,10,450,4500
6385,2025-07-31 00:00:00,CPO05,Foster-Mays,C0010,Panel Card,S0E090214,Triac PCB,NOS,Revenue,GR25Y-00974,PR25Y-00841,DEP28,Press photographer,IR25Y-00758,INR,      1.00000,OFF02,Project Robust value-added hub,INDIAN RUP,1,2250,2137.5
6630,2025-08-07 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0033,Welding Material,S0M010057,Regulator,NOS,Revenue,GR25Y-00795,PR25Y-00700,DEP20,KALIKA ROLLING,IR25Y-00627,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,3,130,390
6382,2025-07-31 00:00:00,CPO05,Foster-Mays,C0007,Motor,S0E060783,Synchroni,NOS,Revenue,GR25Y-00974,PR25Y-00841,DEP28,Press photographer,IR25Y-00758,INR,      1.00000,OFF02,Project Robust value-added hub,INDIAN RUP,1,4500,4275
6750,2025-10-07 00:00:00,CDI02,"Taylor, Leach and Baker",C0019,Daily Consumable,S0M010132,WD 40 Spr,NOS,Revenue,GR25Y-00825,PR25Y-00688,DEP20,KALIKA ROLLING,IR25Y-00615,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,25,154,3850
6756,2025-10-07 00:00:00,CKE04,Webster Inc,C0054,Oil & Grease,S0O020103,Grease La,KGS,Revenue,GR25Y-00823,PR25Y-00667,DEP20,KALIKA ROLLING,IR25Y-00607,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,360,185,66600
6728,2025-09-07 00:00:00,CSH25,Maxwell and Sons,C0019,Daily Consumable,S0M010001,Torch [3,NOS,Revenue,GR25Y-00805,PR25Y-00689,DEP20,KALIKA ROLLING,IR25Y-00615,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,365,3650
6758,2025-10-07 00:00:00,CPR08,"Williams, Lawson and Ford",C0019,Daily Consumable,S0M010040,Measureme,NOS,Revenue,GR25Y-00821,PR25Y-00690,DEP20,KALIKA ROLLING,IR25Y-00615,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,20,32,640
6798,2025-12-07 00:00:00,CMA02,"Johnson, Taylor and Stewart",C0015,Daily Electricals,S0E140114,Pedestal,NOS,Revenue,GR25Y-00837,PR25Y-00712,DEP31,Prison officer,IR25Y-00640,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,10384,10384
6790,2025-12-07 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060042,Flat Span,NOS,Revenue,GR25Y-00834,PR25Y-00721,DEP16,"Pharmacist, community",IR25Y-00642,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,2,41,82
6791,2025-12-07 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060175,Drill Bea,NOS,Revenue,GR25Y-00834,PR25Y-00721,DEP16,"Pharmacist, community",IR25Y-00642,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,3,102,306
6807,2025-12-07 00:00:00,CSHB4,"Miller, Hernandez and Turner",C0019,Daily Consumable,S0M150013,Welding G,NOS,Revenue,GR25Y-00842,PR25Y-00691,DEP20,KALIKA ROLLING,IR25Y-00615,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,2.5,125
6817,2025-07-13 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0027,General,S0M090546,Bag Filte,MTR,Revenue,GR25Y-00843,PR25Y-00726,DEP20,KALIKA ROLLING,IR25Y-00627,INR,      1.00000,RHF08,Project Stand-alone transitional time-frame,INDIAN RUP,72,46,3312
6847,2025-07-14 00:00:00,CTA01,"Martin, Cline and Ortiz",C0030,Carden Shaft,S0M120006,Cardan Sh,NOS,Revenue,GR25Y-00854,PR24Y-02467,DEP20,KALIKA ROLLING,IR24Y-02334,USD,     87.96700,ROU07,Project Pre-emptive multimedia throughput,US Dollar,2,791703,1583406
6832,2025-07-13 00:00:00,CQU01,Garcia-Camacho,C0026,Guide Shop,S0M080254,Guide Rol,NOS,Revenue,GR25Y-00849,PR24Y-00878,DEP20,KALIKA ROLLING,IR24Y-00840,INR,      1.00000,GUI09,Project Digitized bi-directional approach,INDIAN RUP,30,820,24600
6849,2025-07-15 00:00:00,CDE03,"Barrett, Lynch and Harrison",C0054,Oil & Grease,S0O020008,Engine Oi,LTR,Revenue,GR25Y-00859,PR25Y-00741,DEP20,KALIKA ROLLING,IR25Y-00666,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,210,156,32760
6843,2025-07-14 00:00:00,CNR01,"Sosa, Hartman and Gutierrez",C0027,General,S0M090078,Binding W,KGS,Revenue,GR25Y-00850,PR25Y-00590,DEP20,KALIKA ROLLING,IR25Y-00541,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,15720,48.2,757704
6842,2025-07-14 00:00:00,CNR01,"Sosa, Hartman and Gutierrez",C0027,General,S0M090321,Binding W,KGS,Revenue,GR25Y-00850,PR25Y-00590,DEP20,KALIKA ROLLING,IR25Y-00541,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,9700,50.8,492760
6880,2025-07-18 00:00:00,CBA19,Hubbard and Sons,STM01,Stationary,S0A030020,Thermal P,NOS,Revenue,GR25Y-00878,PR25Y-00765,DEP20,KALIKA ROLLING,IR25Y-00691,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,70,21,1470
6862,2025-07-16 00:00:00,CMA23,"Phelps, Drake and Morris",C0027,General,S0M091056,Dust Bin,NOS,Revenue,GR25Y-00868,PR25Y-00747,DEP39,Estate manager/land agent,IR25Y-00676,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,2,925.85,1851.7
6856,2025-07-16 00:00:00,CDI02,"Taylor, Leach and Baker",C0024,General Tool,S0M060993,Bolt Cutt,NOS,Revenue,GR25Y-00870,PR25Y-00688,DEP20,KALIKA ROLLING,IR25Y-00615,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,3480,3480
6899,2025-07-18 00:00:00,CLA06,"Campbell, Flynn and Becker",C0027,General,S0M092576,Roff (T02,NOS,Revenue,GR25Y-00884,PR25Y-00768,DEP10,Media buyer,IR25Y-00692,INR,      1.00000,CANTE,Project Realigned clear-thinking help-desk,INDIAN RUP,5,466.1,2330.5
6901,2025-07-18 00:00:00,CMA02,"Johnson, Taylor and Stewart",C0015,Daily Electricals,S0E140712,Ceiling F,NOS,Revenue,GR25Y-00882,PR25Y-00751,MARKE,Technical author,IR25Y-00681,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,1356,1356
6900,2025-07-18 00:00:00,CMA02,"Johnson, Taylor and Stewart",C0015,Daily Electricals,S0E140325,Ceiling F,NOS,Revenue,GR25Y-00882,PR25Y-00751,MARKE,Technical author,IR25Y-00681,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,1290,1290
6907,2025-07-19 00:00:00,CAX01,Johnson-Kirby,C0024,General Tool,S0M061233,Cordless,NOS,Capital,GR25Y-00890,PR25Y-00750,MARKE,Technical author,IR25Y-00681,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,10550,10550
6929,2025-07-21 00:00:00,CEl05,"Guerrero, Jackson and Walker",C0012,Transformer,S0E110210,WFI (6100,NOS,Revenue,GR25Y-00906,PR25Y-00638,DEP18,Call centre manager,IR25Y-00586,INR,      1.00000,IND19,Project Right-sized holistic interface,INDIAN RUP,2,16500,30525
6944,2025-07-22 00:00:00,CDE03,"Barrett, Lynch and Harrison",C0054,Oil & Grease,S0O020055,Grease Se,KGS,Revenue,GR25Y-00914,PR25Y-00784,DEP31,Prison officer,IR25Y-00706,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,20,350,7000
6943,2025-07-22 00:00:00,CCA06,"Fischer, Sanchez and Warner",C0015,Daily Electricals,S0E060171,Water Pum,NOS,Revenue,GR25Y-00911,PR25Y-00794,DEP20,KALIKA ROLLING,IR25Y-00715,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,5,100,500
6959,2025-07-23 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170612,HT Bolt 1,NOS,Revenue,GR25Y-00923,PR25Y-00764,DEP20,KALIKA ROLLING,IR25Y-00674,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,69.19,1314.61
6954,2025-07-23 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170141,HT Bolt 1,NOS,Revenue,GR25Y-00923,PR25Y-00764,DEP20,KALIKA ROLLING,IR25Y-00674,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,20.44,776.72
6627,2025-07-07 00:00:00,CVE06,Gonzalez Group,C0019,Daily Consumable,S0M160351,Champion,KGS,Revenue,GR25Y-00787,PR25Y-00662,DEP18,Call centre manager,IR25Y-00599,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,38.2,160,6112
6968,2025-07-23 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170602,HT Bolt 1,NOS,Revenue,GR25Y-00923,PR25Y-00764,DEP20,KALIKA ROLLING,IR25Y-00674,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,30.55,580.45
6969,2025-07-23 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170145,HT Bolt 1,NOS,Revenue,GR25Y-00923,PR25Y-00764,DEP20,KALIKA ROLLING,IR25Y-00674,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,32.06,609.14
6991,2025-07-24 00:00:00,CSH25,Maxwell and Sons,C0046,Wire Rope,S0M280047,Wire Rope,MTR,Revenue,GR25Y-00929,PR25Y-00653,DEP20,KALIKA ROLLING,IR25Y-00592,INR,      1.00000,LOADI,Project Robust systemic toolset,INDIAN RUP,1500,224,336000
7125,2025-01-06 00:00:00,CSHB4,"Miller, Hernandez and Turner",C0019,Daily Consumable,S0M010014,Emery Pap,NOS,Revenue,GR25Y-00515,PR25Y-00442,DEP20,KALIKA ROLLING,IR25Y-00406,INR,      1.00000,WOR02,Project Mandatory bandwidth-monitored migration,INDIAN RUP,100,17.8,1780
7150,2025-02-06 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170460,Allen Bol,NOS,Revenue,GR25Y-00532,PR25Y-00441,DEP20,KALIKA ROLLING,IR25Y-00403,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,28.29,523.36
6993,2025-07-24 00:00:00,CSK06,Hayes-Bowers,C0039,Bearing,S0M210788,Bearing 2,NOS,Revenue,GR25Y-00926,PR25Y-00809,DEP20,KALIKA ROLLING,IR25Y-00728,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,4,9214.56,36858.24
7126,2025-01-06 00:00:00,CSHB4,"Miller, Hernandez and Turner",C0019,Daily Consumable,S0M010013,Emery Pap,NOS,Revenue,GR25Y-00515,PR25Y-00442,DEP20,KALIKA ROLLING,IR25Y-00406,INR,      1.00000,WOR02,Project Mandatory bandwidth-monitored migration,INDIAN RUP,100,18.2,1820
7186,2025-03-06 00:00:00,CSH25,Maxwell and Sons,C0019,Daily Consumable,S0M090537,Gas Cutte,MTR,Revenue,GR25Y-00535,PR25Y-00462,DEP20,KALIKA ROLLING,IR25Y-00406,INR,      1.00000,CCM22,Project Visionary 3rdgeneration website,INDIAN RUP,98,57,5586
7167,2025-02-06 00:00:00,CSA37,Burns LLC,C0015,Daily Electricals,S0E140340,PVC Pipe,NOS,Revenue,GR25Y-00526,PR25Y-00454,DEP13,Private music teacher,IR25Y-00416,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,30,58,1474.65
7169,2025-02-06 00:00:00,CSS02,Thomas PLC,C0041,Hyd Valve Spare,S0M230012,Balancing,NOS,Revenue,GR25Y-00527,PR24Y-02488,DEP26,"Surveyor, building",IR24Y-02260,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,2,54200,105148
7162,2025-02-06 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170640,HT Bolt 1,NOS,Revenue,GR25Y-00532,PR25Y-00441,DEP20,KALIKA ROLLING,IR25Y-00403,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,13.18,487.66
7174,2025-03-06 00:00:00,CEA03,Welch Group,C0039,Bearing,S0M210192,Bearing 6,NOS,Revenue,GR25Y-00544,PR25Y-00473,DEP31,Prison officer,IR25Y-00436,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,4,286,1144
7196,2025-03-06 00:00:00,CSHB4,"Miller, Hernandez and Turner",C0027,General,S0M092051,PVC Tokra,NOS,Revenue,GR25Y-00538,PR25Y-00475,DEP20,KALIKA ROLLING,IR25Y-00437,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,7,195,1365
7194,2025-03-06 00:00:00,CSH25,Maxwell and Sons,C0033,Welding Material,S0M010017,Gas Cutte,NOS,Revenue,GR25Y-00535,PR25Y-00462,DEP20,KALIKA ROLLING,IR25Y-00406,INR,      1.00000,CCM22,Project Visionary 3rdgeneration website,INDIAN RUP,15,114,1710
7478,2025-06-21 00:00:00,CGA07,Dalton Inc,C0024,General Tool,S0M061059,Magnetic,NOS,Revenue,GR25Y-00671,PR25Y-00566,DEP24,Equality and diversity officer,IR25Y-00515,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,3600,3600
17221,2025-09-25 00:00:00,CSH25,Maxwell and Sons,C0047,Clamp,S0M290032,SS Clamp,NOS,Revenue,GR25Y-01488,PR25Y-01125,DEP24,Equality and diversity officer,IR25Y-01024,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,24.8,2480
7201,2025-04-06 00:00:00,CCA05,Blevins-Lopez,C0054,Oil & Grease,S0O020105,Oil Berus,NOS,Revenue,AT25Y-00006,  ,DEP20,KALIKA ROLLING,  ,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,1,200,0
7217,2025-04-06 00:00:00,CNE07,Stewart-Marshall,C0039,Bearing,S0M210976,Bearing 3,NOS,Revenue,GR25Y-00547,PR25Y-00382,DEP20,KALIKA ROLLING,IR25Y-00350,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,2,27000,54000
7254,2025-08-06 00:00:00,CUN08,Joseph-Jones,C0027,General,S0M090927,Grease Gu,NOS,Revenue,GR25Y-00568,PR25Y-00443,MARKE,Technical author,IR25Y-00409,INR,      1.00000,HOLDI,Project Vision-oriented non-volatile system engine,INDIAN RUP,1,3080,3080
7227,2025-05-06 00:00:00,CDI02,"Taylor, Leach and Baker",C0034,Pipe Line Fitting,S0M161064,Ball Valv,NOS,Revenue,GR25Y-00557,PR25Y-00483,DEP20,KALIKA ROLLING,IR25Y-00443,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,6,240,1440
7241,2025-06-06 00:00:00,CRA05,"Maldonado, Flores and Reid",PM,Plant & Machinery,S0M130015,RTNL Cool,NOS,Revenue,GR25Y-00563,PR25Y-00283,DEP20,KALIKA ROLLING,IR25Y-00244,INR,      1.00000,COB04,Project Distributed logistical collaboration,INDIAN RUP,5,8927,41287.37
7237,2025-06-06 00:00:00,CKJ01,"Baker, White and Adams",C0022,CNC Tool,S0M040278,Boring Ba,NOS,Revenue,GR25Y-00559,PR25Y-00302,DEP07,CNC MACHINE SHO,IR25Y-00271,INR,      1.00000,WOR01,Project Focused 3rdgeneration analyzer,INDIAN RUP,1,7300,7300
7274,2025-10-06 00:00:00,CSA13,Huff-Kim,WI,winding Material,S0E190003,Winding C,KGS,Revenue,GR25Y-00576,PR25Y-00498,DEP27,Curator,IR25Y-00458,INR,      1.00000,ELE01,Project Multi-channeled well-modulated product,INDIAN RUP,2,1050.84,2101.68
7236,2025-06-06 00:00:00,CHI04,Miller PLC,C0015,Daily Electricals,S0E140223,Timer EAP,NOS,Revenue,GR25Y-00562,PR25Y-00478,DEP13,Private music teacher,IR25Y-00434,INR,      1.00000,ELE01,Project Multi-channeled well-modulated product,INDIAN RUP,3,610,1830
7273,2025-10-06 00:00:00,CSA13,Huff-Kim,WI,winding Material,S0E190021,Nomax Pap,KGS,Revenue,GR25Y-00576,PR25Y-00498,DEP27,Curator,IR25Y-00458,INR,      1.00000,ELE01,Project Multi-channeled well-modulated product,INDIAN RUP,1,1650,1650
7299,2025-12-06 00:00:00,CMA02,"Johnson, Taylor and Stewart",C0015,Daily Electricals,S0E140246,Copper St,NOS,Revenue,GR25Y-00606,PR25Y-00509,DEP13,Private music teacher,IR25Y-00468,INR,      1.00000,ELE01,Project Multi-channeled well-modulated product,INDIAN RUP,9.8,875,8575
7292,2025-12-06 00:00:00,CEN01,Newman and Sons,C0071,Hex Nut Bolt W,S0M170091,CSK Bolt,NOS,Revenue,GR25Y-00597,PR25Y-00524,DEP24,Equality and diversity officer,IR25Y-00484,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,30,12.02,133.42
7290,2025-11-06 00:00:00,CVA19,"Hinton, Medina and Hale",C0027,General,S0M091328,Dezert Co,NOS,Revenue,GR25Y-00588,PR25Y-00486,DEP24,Equality and diversity officer,IR25Y-00447,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,2,14406.78,28813.56
7294,2025-12-06 00:00:00,CHA01,Gomez-Thomas,C0032,Chain & Sprocket,S0M140002,Chain Loc,NOS,Revenue,GR25Y-00607,PR25Y-00488,DEP20,KALIKA ROLLING,IR25Y-00449,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,345,8280
7296,2025-12-06 00:00:00,CHA01,Gomez-Thomas,C0032,Chain & Sprocket,S0M140003,Chain Loc,NOS,Revenue,GR25Y-00607,PR25Y-00488,DEP20,KALIKA ROLLING,IR25Y-00449,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,86,4128
7262,2025-09-06 00:00:00,CWI03,Golden LLC,C0071,Hex Nut Bolt W,S0M170070,Coupling,NOS,Revenue,GR25Y-00571,PR25Y-00491,DEP20,KALIKA ROLLING,IR25Y-00452,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,50,65,3250
7282,2025-10-06 00:00:00,CSS02,Thomas PLC,C0041,Hyd Valve Spare,S0M230711,Direction,NOS,Revenue,GR25Y-00583,PR25Y-00418,DEP12,"Accountant, chartered certified",IR25Y-00382,INR,      1.00000,COB04,Project Distributed logistical collaboration,INDIAN RUP,1,9095,9095
7287,2025-11-06 00:00:00,CJU02,Gilbert-Blair,C0071,Hex Nut Bolt W,S0M170624,EN8 Coupl,NOS,Revenue,GR25Y-00593,PR25Y-00326,DEP12,"Accountant, chartered certified",IR25Y-00291,INR,      1.00000,COB04,Project Distributed logistical collaboration,INDIAN RUP,41,190,7790
7326,2025-06-13 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170417,Allen Bol,NOS,Revenue,GR25Y-00608,PR25Y-00524,DEP24,Equality and diversity officer,IR25Y-00484,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,100,15,1500
7325,2025-06-13 00:00:00,CEN01,Newman and Sons,C0069,Allen Bolt,S0M170437,Allen Bol,NOS,Revenue,GR25Y-00608,PR25Y-00524,DEP24,Equality and diversity officer,IR25Y-00484,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,10,24,240
7310,2025-12-06 00:00:00,CRA08,Brock-Harmon,C0027,General,S0M090321,Binding W,KGS,Revenue,GR25Y-00605,PR25Y-00464,DEP20,KALIKA ROLLING,IR25Y-00426,INR,      1.00000,MAN20,Project Down-sized asymmetric frame,INDIAN RUP,30110,51.8,1559698
